,cobertura,edad,varon,mujer,total,provincia_id
4,Obra social (incluye PAMI),0,5906,5544,11450,2
5,Obra social (incluye PAMI),1,5229,5830,11059,2
6,Obra social (incluye PAMI),2,5844,5608,11452,2
7,Obra social (incluye PAMI),3,5461,5130,10591,2
8,Obra social (incluye PAMI),4,5908,5811,11719,2
9,Obra social (incluye PAMI),5,5796,5610,11406,2
10,Obra social (incluye PAMI),6,6135,6314,12449,2
11,Obra social (incluye PAMI),7,5941,5633,11574,2
12,Obra social (incluye PAMI),8,5998,5551,11549,2
13,Obra social (incluye PAMI),9,5789,5625,11414,2
14,Obra social (incluye PAMI),10,6261,5994,12255,2
15,Obra social (incluye PAMI),11,5595,5642,11237,2
16,Obra social (incluye PAMI),12,6211,5734,11945,2
17,Obra social (incluye PAMI),13,5821,6132,11953,2
18,Obra social (incluye PAMI),14,6655,5955,12610,2
19,Obra social (incluye PAMI),15,6438,6188,12626,2
20,Obra social (incluye PAMI),16,6202,6136,12338,2
21,Obra social (incluye PAMI),17,6166,6320,12486,2
22,Obra social (incluye PAMI),18,7114,7354,14468,2
23,Obra social (incluye PAMI),19,7932,7979,15911,2
24,Obra social (incluye PAMI),20,8508,8607,17115,2
25,Obra social (incluye PAMI),21,8239,8198,16437,2
26,Obra social (incluye PAMI),22,8130,8331,16461,2
27,Obra social (incluye PAMI),23,8601,9613,18214,2
28,Obra social (incluye PAMI),24,9594,9398,18992,2
29,Obra social (incluye PAMI),25,9015,8950,17965,2
30,Obra social (incluye PAMI),26,9230,8657,17887,2
31,Obra social (incluye PAMI),27,9350,9056,18406,2
32,Obra social (incluye PAMI),28,9623,9762,19385,2
33,Obra social (incluye PAMI),29,9556,8913,18469,2
34,Obra social (incluye PAMI),30,10540,10351,20891,2
35,Obra social (incluye PAMI),31,9453,9489,18942,2
36,Obra social (incluye PAMI),32,8970,9301,18271,2
37,Obra social (incluye PAMI),33,8758,9452,18210,2
38,Obra social (incluye PAMI),34,8415,9308,17723,2
39,Obra social (incluye PAMI),35,8056,9041,17097,2
40,Obra social (incluye PAMI),36,8093,8705,16798,2
41,Obra social (incluye PAMI),37,7854,8106,15960,2
42,Obra social (incluye PAMI),38,7304,8053,15357,2
43,Obra social (incluye PAMI),39,7896,7932,15828,2
44,Obra social (incluye PAMI),40,7463,8034,15497,2
45,Obra social (incluye PAMI),41,7168,7625,14793,2
46,Obra social (incluye PAMI),42,6772,7368,14140,2
47,Obra social (incluye PAMI),43,6044,7591,13635,2
48,Obra social (incluye PAMI),44,6064,7128,13192,2
49,Obra social (incluye PAMI),45,6436,7518,13954,2
50,Obra social (incluye PAMI),46,6873,7728,14601,2
51,Obra social (incluye PAMI),47,7133,7480,14613,2
52,Obra social (incluye PAMI),48,6770,7861,14631,2
53,Obra social (incluye PAMI),49,6533,8133,14666,2
54,Obra social (incluye PAMI),50,6646,8379,15025,2
55,Obra social (incluye PAMI),51,6331,7841,14172,2
56,Obra social (incluye PAMI),52,6601,8152,14753,2
57,Obra social (incluye PAMI),53,6966,8523,15489,2
58,Obra social (incluye PAMI),54,6317,8502,14819,2
59,Obra social (incluye PAMI),55,6561,8020,14581,2
60,Obra social (incluye PAMI),56,6107,7863,13970,2
61,Obra social (incluye PAMI),57,6457,8000,14457,2
62,Obra social (incluye PAMI),58,5807,7672,13479,2
63,Obra social (incluye PAMI),59,5402,7579,12981,2
64,Obra social (incluye PAMI),60,6548,9304,15852,2
65,Obra social (incluye PAMI),61,5633,9525,15158,2
66,Obra social (incluye PAMI),62,5521,10849,16370,2
67,Obra social (incluye PAMI),63,5517,10409,15926,2
68,Obra social (incluye PAMI),64,5302,10239,15541,2
69,Obra social (incluye PAMI),65,6319,11145,17464,2
70,Obra social (incluye PAMI),66,6717,9766,16483,2
71,Obra social (incluye PAMI),67,6436,9520,15956,2
72,Obra social (incluye PAMI),68,6099,8886,14985,2
73,Obra social (incluye PAMI),69,5773,8805,14578,2
74,Obra social (incluye PAMI),70,6464,11378,17842,2
75,Obra social (incluye PAMI),71,5530,8739,14269,2
76,Obra social (incluye PAMI),72,5710,8853,14563,2
77,Obra social (incluye PAMI),73,5086,8477,13563,2
78,Obra social (incluye PAMI),74,5348,8354,13702,2
79,Obra social (incluye PAMI),75,5184,9243,14427,2
80,Obra social (incluye PAMI),76,4588,8740,13328,2
81,Obra social (incluye PAMI),77,4977,8015,12992,2
82,Obra social (incluye PAMI),78,5015,8987,14002,2
83,Obra social (incluye PAMI),79,4803,8512,13315,2
84,Obra social (incluye PAMI),80,4560,9129,13689,2
85,Obra social (incluye PAMI),81,3965,8101,12066,2
86,Obra social (incluye PAMI),82,3697,7970,11667,2
87,Obra social (incluye PAMI),83,3305,7460,10765,2
88,Obra social (incluye PAMI),84,2491,6981,9472,2
89,Obra social (incluye PAMI),85,2855,6684,9539,2
90,Obra social (incluye PAMI),86,2348,5968,8316,2
91,Obra social (incluye PAMI),87,1925,5018,6943,2
92,Obra social (incluye PAMI),88,1560,4710,6270,2
93,Obra social (incluye PAMI),89,1316,3781,5097,2
94,Obra social (incluye PAMI),90,1028,3234,4262,2
95,Obra social (incluye PAMI),91,725,2050,2775,2
96,Obra social (incluye PAMI),92,537,1823,2360,2
97,Obra social (incluye PAMI),93,232,1642,1874,2
98,Obra social (incluye PAMI),94,282,1221,1503,2
99,Obra social (incluye PAMI),95,193,931,1124,2
100,Obra social (incluye PAMI),96,122,634,756,2
101,Obra social (incluye PAMI),97,66,446,512,2
102,Obra social (incluye PAMI),98,61,362,423,2
103,Obra social (incluye PAMI),99,36,162,198,2
104,Obra social (incluye PAMI),100,26,199,225,2
105,Obra social (incluye PAMI),101,1,94,95,2
106,Obra social (incluye PAMI),102,11,64,75,2
107,Obra social (incluye PAMI),103,-,27,27,2
108,Obra social (incluye PAMI),104,10,17,27,2
109,Obra social (incluye PAMI),105,3,6,9,2
110,Obra social (incluye PAMI),106,-,4,4,2
111,Obra social (incluye PAMI),107,-,2,2,2
112,Obra social (incluye PAMI),108,-,1,1,2
113,Obra social (incluye PAMI),109,1,2,3,2
114,Obra social (incluye PAMI),110,-,10,10,2
116,Prepaga a través de obra social,,Varón,Mujer,Total,2
117,Prepaga a través de obra social,0,4954,4441,9395,2
118,Prepaga a través de obra social,1,4285,4230,8515,2
119,Prepaga a través de obra social,2,4576,4292,8868,2
120,Prepaga a través de obra social,3,4255,3957,8212,2
121,Prepaga a través de obra social,4,4149,4185,8334,2
122,Prepaga a través de obra social,5,4468,4183,8651,2
